State,count,total_shot,total_killed,total_wounded
TX,31,394,223,171
CA,30,238,162,76
FL,17,219,135,84
NV,4,491,73,418
OH,13,86,65,21
IL,14,80,62,18
WA,10,48,44,4
PA,8,50,41,9
AZ,9,54,40,14
NY,6,53,39,14
NC,8,43,39,4
IN,8,45,38,7
VA,6,43,37,6
GA,8,42,37,5
SC,7,37,35,2
WI,7,40,35,5
CT,2,39,35,4
CO,4,105,33,72
MI,7,44,33,11
MO,7,36,32,4
AL,5,35,31,4
KS,6,30,25,5
OK,5,24,22,2
TN,5,27,21,6
WV,5,22,21,1
MS,4,20,20,0
NM,4,21,19,2
MN,4,20,18,2
MD,4,20,17,3
DC,2,25,16,9
LA,3,14,14,0
NJ,3,18,12,6
KY,2,9,9,0
AR,2,9,9,0
OR,1,18,9,9
MA,2,9,8,1
UT,2,9,8,1
ND,2,8,8,0
SD,1,5,5,0
ME,1,4,4,0
WY,1,5,4,1
ID,1,4,4,0
DE,1,4,4,0
MT,1,4,4,0
AK,1,4,4,0
VT,1,4,4,0
CZ,0,0,0,0
GU,0,0,0,0
HI,0,0,0,0
IA,0,0,0,0
NE,0,0,0,0
NH,0,0,0,0
PR,0,0,0,0
RI,0,0,0,0
VI,0,0,0,0
AS,0,0,0,0
MP,0,0,0,0
